Lat	Lon	Oxigen
418907.4649	5555608.403	680
418817.4649	5555598.403	451
418857.4649	5555598.403	505
418897.4649	5555598.403	841
418907.4649	5555598.403	934
418817.4649	5555588.403	310
418927.4649	5555588.403	641
418797.4649	5555578.403	467
418837.4649	5555578.403	252
418857.4649	5555578.403	629
418917.4649	5555578.403	810
418927.4649	5555578.403	822
418947.4649	5555568.403	696
418967.4649	5555568.403	982
418977.4649	5555568.403	314
418807.4649	5555558.403	299
418897.4649	5555558.403	939
418907.4649	5555558.403	373
418837.4649	5555548.403	444
418897.4649	5555548.403	875
418947.4649	5555548.403	681
418967.4649	5555548.403	226
418987.4649	5555548.403	221
418997.4649	5555548.403	959
418787.4649	5555538.403	611
418877.4649	5555538.403	365
418927.4649	5555538.403	111
418947.4649	5555538.403	516
419117.4649	5555538.403	520
418827.4649	5555528.403	292
418877.4649	5555528.403	252
418957.4649	5555528.403	800
418997.4649	5555528.403	126
419007.4649	5555528.403	327
419037.4649	5555528.403	445
419117.4649	5555528.403	237
418787.4649	5555518.403	353
418797.4649	5555518.403	328
418827.4649	5555518.403	924
418847.4649	5555518.403	971
419007.4649	5555518.403	906
419037.4649	5555518.403	132
419107.4649	5555518.403	924
418797.4649	5555508.403	913
418807.4649	5555508.403	870
418867.4649	5555508.403	104
418987.4649	5555508.403	904
419107.4649	5555508.403	839
418747.4649	5555498.403	787
418757.4649	5555498.403	174
418807.4649	5555498.403	238
418867.4649	5555498.403	980
418917.4649	5555498.403	303
418967.4649	5555498.403	599
419027.4649	5555498.403	318
419167.4649	5555498.403	517
418767.4649	5555488.403	183
418967.4649	5555488.403	298
418977.4649	5555488.403	136
418987.4649	5555488.403	444
419027.4649	5555488.403	396
419057.4649	5555488.403	767
419077.4649	5555488.403	888
419117.4649	5555488.403	279
419167.4649	5555488.403	826
419177.4649	5555488.403	563
418807.4649	5555478.403	930
418897.4649	5555478.403	712
418987.4649	5555478.403	647
419047.4649	5555478.403	232
419117.4649	5555478.403	442
418817.4649	5555468.403	479
418927.4649	5555468.403	885
418937.4649	5555468.403	204
419017.4649	5555468.403	844
419027.4649	5555468.403	856
419047.4649	5555468.403	453
419067.4649	5555468.403	311
419077.4649	5555468.403	813
419157.4649	5555468.403	972
418747.4649	5555458.403	278
418857.4649	5555458.403	392
418867.4649	5555458.403	901
418907.4649	5555458.403	986
418927.4649	5555458.403	813
419077.4649	5555458.403	152
419087.4649	5555458.403	729
418747.4649	5555448.403	361
418797.4649	5555448.403	892
418877.4649	5555448.403	635
419007.4649	5555448.403	763
419167.4649	5555448.403	373
418777.4649	5555438.403	755
418797.4649	5555438.403	794
418867.4649	5555438.403	733
418967.4649	5555438.403	961
418997.4649	5555438.403	788
419047.4649	5555438.403	463
419137.4649	5555438.403	927
418767.4649	5555428.403	442
418777.4649	5555428.403	729
418797.4649	5555428.403	932
418887.4649	5555428.403	628
418957.4649	5555428.403	877
418977.4649	5555428.403	142
419047.4649	5555428.403	108
419137.4649	5555428.403	194
419177.4649	5555428.403	768
419187.4649	5555428.403	498
418737.4649	5555418.403	835
418747.4649	5555418.403	544
418897.4649	5555418.403	571
418947.4649	5555418.403	790
419027.4649	5555418.403	206
419157.4649	5555418.403	481
418737.4649	5555408.403	612
418767.4649	5555408.403	780
418807.4649	5555408.403	126
418887.4649	5555408.403	941
418897.4649	5555408.403	517
418907.4649	5555408.403	132
419157.4649	5555408.403	319
419177.4649	5555408.403	369
419187.4649	5555408.403	752
418797.4649	5555398.403	811
418807.4649	5555398.403	655
418887.4649	5555398.403	212
419007.4649	5555398.403	927
419037.4649	5555398.403	492
419047.4649	5555398.403	269
419067.4649	5555398.403	936
419107.4649	5555398.403	670
419127.4649	5555398.403	482
419137.4649	5555398.403	246
418807.4649	5555388.403	393
419047.4649	5555388.403	844
419087.4649	5555388.403	561
418757.4649	5555378.403	226
418937.4649	5555378.403	607
418977.4649	5555378.403	509
419087.4649	5555378.403	499
419177.4649	5555378.403	719
418757.4649	5555368.403	746
418897.4649	5555368.403	737
418907.4649	5555368.403	781
418937.4649	5555368.403	975
418977.4649	5555368.403	340
419007.4649	5555368.403	495
419027.4649	5555368.403	242
419057.4649	5555368.403	821
419087.4649	5555368.403	552
419137.4649	5555368.403	134
418747.4649	5555358.403	547
418827.4649	5555358.403	187
418847.4649	5555358.403	111
419007.4649	5555358.403	766
419097.4649	5555358.403	550
419157.4649	5555358.403	433
418757.4649	5555348.403	188
418827.4649	5555348.403	530
418837.4649	5555348.403	610
419057.4649	5555348.403	929
419117.4649	5555348.403	999
419127.4649	5555348.403	707
418817.4649	5555338.403	392
418827.4649	5555338.403	454
419057.4649	5555338.403	878
419127.4649	5555338.403	285
419157.4649	5555338.403	857
418777.4649	5555328.403	392
418797.4649	5555328.403	694
418957.4649	5555328.403	747
418967.4649	5555328.403	714
418977.4649	5555328.403	934
418987.4649	5555328.403	465
419077.4649	5555328.403	304
419087.4649	5555328.403	998
418867.4649	5555318.403	301
418877.4649	5555318.403	728
418947.4649	5555318.403	658
419107.4649	5555318.403	795
418847.4649	5555308.403	276
418907.4649	5555308.403	873
418927.4649	5555308.403	704
418957.4649	5555308.403	496
418967.4649	5555308.403	339
419107.4649	5555308.403	227
419117.4649	5555308.403	989
418817.4649	5555298.403	541
418857.4649	5555298.403	989
418887.4649	5555298.403	928
418927.4649	5555298.403	380
418947.4649	5555298.403	977
418967.4649	5555298.403	691
418807.4649	5555288.403	215
418817.4649	5555288.403	128
418927.4649	5555288.403	184
418817.4649	5555278.403	429
418847.4649	5555278.403	267
418877.4649	5555278.403	914
