ID	x	y	lead
1	181072	333611	299
2	181025	333558	277
3	181165	333537	199
4	181298	333484	116
5	181307	333330	117
6	181390	333260	137
7	181165	333370	132
8	181027	333363	150
9	181060	333231	133
10	181232	333168	80
11	181191	333115	86
12	181032	333031	97
13	180874	333339	285
14	180969	333252	183
15	181011	333161	130
16	180830	333246	240
17	180763	333104	133
18	180694	332972	148
19	180625	332847	207
20	180555	332707	284
21	180642	332708	194
22	180704	332717	123
23	180704	332664	110
24	181153	332925	85
25	181147	332823	75
26	181167	332778	76
27	181008	332777	73
28	180973	332687	67
29	180916	332753	87
30	181352	332946	65
31	181133	332570	78
32	180878	332489	64
33	180829	332450	77
34	180954	332399	80
35	180956	332318	82
36	180710	332330	97
37	180632	332445	166
38	180530	332538	217
39	180478	332578	219
40	180383	332476	405
41	180494	332330	102
42	180561	332193	48
43	180451	332175	65
44	180410	332031	62
45	180355	332299	281
46	180292	332157	294
47	180283	332014	211
48	180282	331861	135
49	180270	331707	112
50	180199	331591	162
51	180135	331552	94
52	180237	332351	191
53	180103	332297	405
54	179973	332255	654
55	179826	332217	482
56	179687	332161	276
57	179792	332035	180
58	179902	332113	207
59	180100	332213	541
60	179604	332059	310
61	179526	331936	210
62	179495	331770	158
63	179489	331633	141
64	179414	331494	144
65	179334	331366	181
66	179255	331264	173
67	179470	331125	399
68	179692	330933	45
69	179852	330801	325
70	179140	330955	268
71	179128	330867	252
72	179065	330864	315
73	179007	330727	260
74	179110	330758	237
75	179032	330645	228
76	179095	330636	241
77	179058	330510	201
78	178810	330666	204
79	178912	330779	429
80	178981	330924	462
81	179076	331005	333
82	180151	330353	464
83	179211	331175	159
84	181118	333214	116
85	179474	331304	81
86	179559	331423	131
87	179022	330873	216
88	178953	330742	145
89	178875	330516	163
90	178803	330349	129
91	179029	330394	148
92	178605	330406	214
93	178701	330557	226
94	179547	330245	54
95	179301	330179	70
96	179405	330567	73
97	179462	330766	87
98	179293	330797	76
99	179180	330710	81
100	179206	330398	68
101	179618	330458	66
102	179782	330540	49
103	179980	330773	63
104	180067	331185	48
105	180162	331387	51
106	180451	331473	50
107	180328	331158	39
108	180276	330963	48
109	180114	330803	64
110	179881	330912	84
111	179774	330921	67
112	179657	331150	49
113	179731	331245	48
114	179717	331441	56
115	179446	331422	65
116	179524	331565	84
117	179644	331730	75
118	180321	330366	250
119	180162	331837	81
120	180029	331720	72
121	179797	331919	86
122	179642	331955	94
123	179849	332142	244
124	180265	332297	297
125	180107	332101	96
126	180462	331947	56
127	180478	331822	49
128	180347	331700	50
129	180862	333116	148
130	180700	332882	162
131	180201	331160	37
132	180173	331923	80
133	180923	332874	80
134	180467	331694	49
135	179917	331325	42
136	179822	331242	48
137	179991	331069	41
138	179120	330578	73
139	179034	330561	146
140	179085	330433	95
141	179236	330046	72
142	179456	330072	51
143	179550	329940	54
144	179445	329807	136
145	179337	329870	170
146	179245	329714	179
147	179024	329733	200
148	178786	329822	258
149	179135	329890	93
150	179030	330082	68
151	179184	330182	49
152	179085	330292	173
153	178875	330311	119
154	179466	330381	51
155	180627	330190	124
