"x"	"y"
-4561.000	155285.000
-4567.650	155270.220
-4578.000	155263.000
-4583.000	155269.000
-4597.800	155257.500
-4644.000	155262.000
-4649.000	155254.000
-4667.000	155243.000
-4691.000	155247.000
-5198.000	155112.000
-5343.000	155026.000
-5364.000	154976.000
-5412.000	154914.000
-5172.380	155044.410
-5176.830	155029.780
-5170.000	155059.000
-5006.000	155239.000
-5302.000	155160.000
-5322.000	155208.000
-5322.000	155148.000
-5345.000	155146.000
-5398.320	155112.580
-5375.930	155101.090
-5362.020	155088.390
-5347.490	155079.010
-5608.000	155236.000
