CoordX,CoordY,Elevac
733663,9968555,1387
733345,9966121,1212
731864,9966439,1338
732181,9963581,1101
733874,9961465,1235
734933,9962840,1118
737049,9963264,1198
734086,9959242,1393
732604,9958925,1054
732287,9956385,1007
732922,9954056,1493
735356,9952892,1575
738637,9952998,1721
737261,9956279,1665
738743,9957866,2087
737579,9959348,1636
735568,9957972,1431
739484,9961253,1358
743399,9960724,1831
744140,9958819,1416
742024,9963264,1563
738743,9964851,1379
738849,9966968,1558
743082,9965169,1818
746363,9965486,1607
743929,9966862,1944
744669,9956702,1502
742553,9955220,1654
741706,9956808,1713
742024,9958819,1342
744246,9953315,1868
747210,9953845,2045
741071,9954268,1678
746575,9958713,1719
749432,9957760,2061
748480,9955115,2526
750702,9953527,2094
753771,9952998,2385
755782,9952680,2100
758005,9955644,2905
759486,9953633,2652
762555,9952363,2843
764672,9953210,3219
766260,9954056,3591
767424,9952680,3110
769329,9953315,2980
771657,9952786,2799
773985,9952469,2762
776525,9952680,2905
778325,9951622,3347
778748,9953845,3276
778642,9950140,3342
778748,9948447,3833
777266,9948341,3120
775679,9950035,3145
774938,9948870,2870
772186,9948976,2807
768482,9950140,2937
770493,9951410,2845
764990,9950775,3136
761180,9949823,2935
758216,9950670,2846
754724,9950987,2238
749961,9951516,1747
746045,9951093,2081
742553,9951410,2138
749750,9962735,2332
745410,9962311,2030
750173,9966545,2237
751972,9964534,2950
752713,9961782,2409
750808,9959771,1959
753454,9958501,2383
755041,9961888,2298
754406,9963899,2643
759063,9961465,3381
757052,9958925,3031
754724,9956596,2831
760862,9957337,3117
762555,9959771,3707
765201,9959348,4007
763931,9956490,3435
767212,9957020,3473
768694,9958925,3409
771975,9956914,3021
774832,9957337,2871
773880,9959560,3098
769540,9961253,3319
765413,9961253,4171
761285,9962100,3355
759592,9963687,3138
757687,9962946,2905
756205,9964005,3391
754089,9965486,2753
748374,9963687,2428
771551,9960935,3101
773985,9961994,3008
765307,9962523,3929
775467,9960512,2987
776525,9958607,2695
777478,9956173,2775
772610,9962311,3063
767847,9961782,3664
762555,9963052,3625
752290,9965910,2895
746680,9966650,1714
740754,9966968,1897
735885,9967815,1383
752290,9954903,2331
769011,9955432,3121
773985,9954585,2735
